Security,Maturity,Amount,Coupon,CF_Date,CouponAmount,Capital
 TB364 2025/02/14,2025-02-14,25355538000.0,TB,2025-02-14,0.0,25355538000.0
 TB182 2025/02/14,2025-02-14,22500000000.0,TB,2025-02-14,0.0,22500000000.0
 TB091 2025/02/14,2025-02-14,17500000000.0,TB,2025-02-14,0.0,17500000000.0
 TB091 2025/02/14,2025-02-14,3000000000.0,TB,2025-02-14,0.0,3000000000.0
 TB364 2025/02/21,2025-02-21,2216000000.0,TB,2025-02-21,0.0,2216000000.0
 TB182 2025/02/21,2025-02-21,14000000000.0,TB,2025-02-21,0.0,14000000000.0
 TB091 2025/02/21,2025-02-21,15631679000.0,TB,2025-02-21,0.0,15631679000.0
 TB364 2025/02/28,2025-02-28,15500000000.0,TB,2025-02-28,0.0,15500000000.0
 TB182 2025/02/28,2025-02-28,24000000000.0,TB,2025-02-28,0.0,24000000000.0
 TB091 2025/02/28,2025-02-28,30407332000.0,TB,2025-02-28,0.0,30407332000.0
 TB364 2025/03/07,2025-03-07,1000000000.0,TB,2025-03-07,0.0,1000000000.0
 TB364 2025/03/07,2025-03-07,10500000000.0,TB,2025-03-07,0.0,10500000000.0
 TB182 2025/03/07,2025-03-07,6000000000.0,TB,2025-03-07,0.0,6000000000.0
 TB091 2025/03/07,2025-03-07,13471813000.0,TB,2025-03-07,0.0,13471813000.0
 TB364 2025/03/14,2025-03-14,18500000000.0,TB,2025-03-14,0.0,18500000000.0
 TB182 2025/03/14,2025-03-14,10000000000.0,TB,2025-03-14,0.0,10000000000.0
 TB091 2025/03/14,2025-03-14,16719988000.0,TB,2025-03-14,0.0,16719988000.0
 10.25%2025A,2025-03-15,27747120000.0,10.25,2025-03-15,1422039900.0,27747120000.0
 TB364 2025/03/21,2025-03-21,3000000000.0,TB,2025-03-21,0.0,3000000000.0
 TB182 2025/03/21,2025-03-21,7750000000.0,TB,2025-03-21,0.0,7750000000.0
 TB091 2025/03/21,2025-03-21,16967472000.0,TB,2025-03-21,0.0,16967472000.0
 TB182 2025/03/28,2025-03-28,3598164000.0,TB,2025-03-28,0.0,3598164000.0
 TB091 2025/03/28,2025-03-28,900063000.0,TB,2025-03-28,0.0,900063000.0
 TB364 2025/04/04,2025-04-04,1426667000.0,TB,2025-04-04,0.0,1426667000.0
 TB182 2025/04/04,2025-04-04,7000000000.0,TB,2025-04-04,0.0,7000000000.0
 TB091 2025/04/04,2025-04-04,20000000000.0,TB,2025-04-04,0.0,20000000000.0
 TB182 2025/04/11,2025-04-11,5933000000.0,TB,2025-04-11,0.0,5933000000.0
 TB182 2025/04/18,2025-04-18,11000000000.0,TB,2025-04-18,0.0,11000000000.0
 TB182 2025/04/25,2025-04-25,10000000000.0,TB,2025-04-25,0.0,10000000000.0
 TB091 2025/04/25,2025-04-25,29276339000.0,TB,2025-04-25,0.0,29276339000.0
 09.00%2025A,2025-05-01,31654307900.0,9.0,2025-05-01,1424443855.5,31654307900.0
 TB364 2025/05/02,2025-05-02,1000000000.0,TB,2025-05-02,0.0,1000000000.0
 TB182 2025/05/02,2025-05-02,15500000000.0,TB,2025-05-02,0.0,15500000000.0
 TB364 2025/05/09,2025-05-09,5048409000.0,TB,2025-05-09,0.0,5048409000.0
 TB182 2025/05/09,2025-05-09,10148778000.0,TB,2025-05-09,0.0,10148778000.0
 TB091 2025/05/09,2025-05-09,856738000.0,TB,2025-05-09,0.0,856738000.0
 TB364 2025/05/16,2025-05-16,10000000000.0,TB,2025-05-16,0.0,10000000000.0
 TB182 2025/05/16,2025-05-16,10918468000.0,TB,2025-05-16,0.0,10918468000.0
 TB364 2025/05/23,2025-05-23,9964818000.0,TB,2025-05-23,0.0,9964818000.0
 TB182 2025/05/23,2025-05-23,22005896000.0,TB,2025-05-23,0.0,22005896000.0
 TB364 2025/05/30,2025-05-30,7914261000.0,TB,2025-05-30,0.0,7914261000.0
 TB182 2025/05/30,2025-05-30,26397032000.0,TB,2025-05-30,0.0,26397032000.0
 17.00%2025A,2025-06-01,25080700000.0,17.0,2025-06-01,2131859500.0,25080700000.0
 TB364 2025/06/06,2025-06-06,600000000.0,TB,2025-06-06,0.0,600000000.0
 TB182 2025/06/06,2025-06-06,15000000000.0,TB,2025-06-06,0.0,15000000000.0
 TB364 2025/06/13,2025-06-13,500000000.0,TB,2025-06-13,0.0,500000000.0
 TB182 2025/06/13,2025-06-13,17580979000.0,TB,2025-06-13,0.0,17580979000.0
 TB364 2025/06/20,2025-06-20,2465219276.0,TB,2025-06-20,0.0,2465219276.0
 TB182 2025/06/20,2025-06-20,13918825000.0,TB,2025-06-20,0.0,13918825000.0
 TB182 2025/06/27,2025-06-27,2784594000.0,TB,2025-06-27,0.0,2784594000.0
 18.00%2025A,2025-07-01,92493960000.0,18.0,2025-07-01,8324456400.0,92493960000.0
 TB364 2025/07/04,2025-07-04,4573000000.0,TB,2025-07-04,0.0,4573000000.0
 TB182 2025/07/04,2025-07-04,7500000000.0,TB,2025-07-04,0.0,7500000000.0
 1.00% 2025A,2025-07-15,45347375730.0,9.5,2025-07-15,2154000347.175,45347375730.0
 1.00% 2025A,2025-07-15,45347375730.0,9.5,2025-01-15,2154000347.175,0.0
 TB364 2025/07/25,2025-07-25,7000000000.0,TB,2025-07-25,0.0,7000000000.0
 TB182 2025/07/25,2025-07-25,22642256000.0,TB,2025-07-25,0.0,22642256000.0
 11.00%2025A,2025-08-01,1600780800.0,11.0,2025-08-01,88042944.0,1600780800.0
 11.00%2025A,2025-08-01,1600780800.0,11.0,2025-02-01,88042944.0,0.0
 TB364 2025/08/01,2025-08-01,3500000000.0,TB,2025-08-01,0.0,3500000000.0
 TB182 2025/08/01,2025-08-01,5000000000.0,TB,2025-08-01,0.0,5000000000.0
 TB182 2025/08/08,2025-08-08,6159823000.0,TB,2025-08-08,0.0,6159823000.0
 TB364 2025/08/15,2025-08-15,5000000000.0,TB,2025-08-15,0.0,5000000000.0
 10.35%2025A,2025-10-15,36782690000.0,10.35,2025-10-15,1903504207.5,36782690000.0
 10.35%2025A,2025-10-15,36782690000.0,10.35,2025-04-15,1903504207.5,0.0
 TB364 2025/10/17,2025-10-17,7000000000.0,TB,2025-10-17,0.0,7000000000.0
 TB364 2025/10/24,2025-10-24,5000000000.0,TB,2025-10-24,0.0,5000000000.0
 TB364 2025/11/07,2025-11-07,3100000000.0,TB,2025-11-07,0.0,3100000000.0
 TB364 2025/11/14,2025-11-14,1000000000.0,TB,2025-11-14,0.0,1000000000.0
 TB364 2025/11/21,2025-11-21,17436220000.0,TB,2025-11-21,0.0,17436220000.0
 TB364 2025/11/28,2025-11-28,2000000000.0,TB,2025-11-28,0.0,2000000000.0
 TB364 2025/12/05,2025-12-05,21404993000.0,TB,2025-12-05,0.0,21404993000.0
 TB364 2025/12/12,2025-12-12,7326418000.0,TB,2025-12-12,0.0,7326418000.0
 TB364 2025/12/19,2025-12-19,8473986000.0,TB,2025-12-19,0.0,8473986000.0
 TB364 2025/12/26,2025-12-26,11495988000.0,TB,2025-12-26,0.0,11495988000.0
 TB364 2026/01/02,2026-01-02,12000000000.0,TB,2026-01-02,0.0,12000000000.0
 TB364 2026/01/23,2026-01-23,10000000000.0,TB,2026-01-23,0.0,10000000000.0
 09.00%2026A,2026-02-01,15000000000.0,9.0,2026-02-01,675000000.0,15000000000.0
 09.00%2026A,2026-02-01,15000000000.0,9.0,2025-08-01,675000000.0,0.0
 09.00%2026A,2026-02-01,15000000000.0,9.0,2025-02-01,675000000.0,0.0
 TB364 2026/02/06,2026-02-06,8152693000.0,TB,2026-02-06,0.0,8152693000.0
 05.35%2026A,2026-03-01,76473380000.0,5.35,2026-03-01,2045662915.0,76473380000.0
 05.35%2026A,2026-03-01,76473380000.0,5.35,2025-09-01,2045662915.0,0.0
 05.35%2026A,2026-03-01,76473380000.0,5.35,2025-03-01,2045662915.0,0.0
 22.50%2026A,2026-05-15,11074620000.0,22.5,2026-05-15,1245894750.0,11074620000.0
 22.50%2026A,2026-05-15,11074620000.0,22.5,2025-11-15,1245894750.0,0.0
 22.50%2026A,2026-05-15,11074620000.0,22.5,2025-05-15,1245894750.0,0.0
 11.00%2026A,2026-06-01,3433062900.0,11.0,2026-06-01,188818459.5,3433062900.0
 11.00%2026A,2026-06-01,3433062900.0,11.0,2025-12-01,188818459.5,0.0
 11.00%2026A,2026-06-01,3433062900.0,11.0,2025-06-01,188818459.5,0.0
 11.50%2026A,2026-08-01,50000000.0,11.5,2026-08-01,2875000.0,50000000.0
 11.50%2026A,2026-08-01,50000000.0,11.5,2026-02-01,2875000.0,0.0
 11.50%2026A,2026-08-01,50000000.0,11.5,2025-08-01,2875000.0,0.0
 11.50%2026A,2026-08-01,50000000.0,11.5,2025-02-01,2875000.0,0.0
 11.50%2026A,2026-08-01,15105602300.0,11.5,2026-08-01,868572132.25,15105602300.0
 11.50%2026A,2026-08-01,15105602300.0,11.5,2026-02-01,868572132.25,0.0
 11.50%2026A,2026-08-01,15105602300.0,11.5,2025-08-01,868572132.25,0.0
 11.50%2026A,2026-08-01,15105602300.0,11.5,2025-02-01,868572132.25,0.0
 11.25%2026A,2026-12-15,37000000000.0,11.25,2026-12-15,2081250000.0,37000000000.0
